short_name,value_eur,overall,player_positions,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,nationality
P. Pentz,950000,68,GK,66.0,65.0,74.0,73.0,54.0,68.0,Austria
J. Højbjerg,925000,68,GK,70.0,64.0,66.0,69.0,47.0,67.0,Denmark
J. Lumley,925000,68,GK,69.0,67.0,67.0,68.0,45.0,64.0,England
M. Schwäbe,925000,68,GK,70.0,65.0,73.0,69.0,46.0,64.0,Germany
D. Bentley,875000,68,GK,70.0,64.0,62.0,69.0,44.0,67.0,England
R. Matthews,875000,68,GK,69.0,67.0,67.0,69.0,43.0,67.0,England
L. Pirard,900000,68,GK,69.0,68.0,64.0,71.0,34.0,64.0,Belgium
G. Bushchan,875000,68,GK,68.0,60.0,70.0,71.0,28.0,68.0,Ukraine
S. Şahin-Radlinger,850000,68,GK,70.0,62.0,59.0,71.0,39.0,68.0,Austria
C. Ripley,850000,68,GK,69.0,69.0,67.0,70.0,35.0,68.0,England
Neto,850000,68,GK,69.0,66.0,74.0,71.0,48.0,65.0,Brazil
N. Lomb,850000,68,GK,70.0,64.0,66.0,71.0,39.0,65.0,Germany
M. Kuster,850000,68,GK,67.0,70.0,63.0,68.0,30.0,66.0,Austria
G. Castellón,850000,68,GK,66.0,63.0,57.0,72.0,41.0,66.0,Chile
T. Miller,850000,68,GK,69.0,65.0,66.0,68.0,32.0,67.0,United States
Ratón,850000,68,GK,64.0,69.0,68.0,68.0,50.0,67.0,Spain
Mika,800000,68,GK,70.0,65.0,66.0,70.0,34.0,68.0,Portugal
P. Iliev,0,68,GK,69.0,60.0,67.0,75.0,49.0,70.0,Bulgaria
N. Bertrams,800000,68,GK,68.0,67.0,64.0,68.0,51.0,66.0,Netherlands
F. Bednarek,800000,68,GK,66.0,65.0,64.0,70.0,43.0,68.0,Poland
K. Roos,775000,68,GK,72.0,65.0,69.0,68.0,41.0,67.0,Netherlands
C. Bonilla,800000,68,GK,70.0,67.0,65.0,71.0,55.0,64.0,Colombia
B. Allain,775000,68,GK,70.0,65.0,68.0,69.0,38.0,65.0,France
M. Hansen,750000,68,GK,65.0,66.0,65.0,66.0,49.0,70.0,Denmark
D. Bingham,750000,68,GK,70.0,64.0,71.0,71.0,39.0,66.0,United States
F. De Paul,775000,68,GK,67.0,68.0,62.0,71.0,41.0,67.0,Chile
B. Amos,725000,68,GK,65.0,68.0,70.0,71.0,47.0,65.0,England
S. Bruzzese,700000,68,GK,69.0,62.0,66.0,69.0,41.0,68.0,Belgium
J. Grahl,700000,68,GK,72.0,62.0,60.0,73.0,45.0,65.0,Germany
J. Steele,750000,68,GK,68.0,66.0,71.0,68.0,35.0,67.0,England
O. Jansson,750000,68,GK,70.0,64.0,64.0,69.0,30.0,68.0,Sweden
A. Kovácsik,0,68,GK,67.0,63.0,62.0,75.0,48.0,70.0,Hungary
J. Delle,725000,68,GK,68.0,67.0,64.0,69.0,49.0,67.0,France
A. Letellier,750000,68,GK,67.0,67.0,61.0,71.0,38.0,66.0,France
M. Gorgelin,750000,68,GK,73.0,64.0,70.0,71.0,48.0,62.0,France
A. Weis,725000,68,GK,71.0,66.0,63.0,74.0,39.0,59.0,Germany
D. Novoa,700000,68,GK,64.0,76.0,73.0,64.0,48.0,68.0,Colombia
I. González,725000,68,GK,66.0,65.0,61.0,72.0,48.0,67.0,Chile
Gu Chao,725000,68,GK,70.0,64.0,67.0,72.0,49.0,62.0,China PR
L. Steele,400000,68,GK,68.0,66.0,63.0,71.0,51.0,66.0,England
E. Jakupović,400000,68,GK,69.0,68.0,66.0,66.0,30.0,69.0,Switzerland
U. Ceylan,475000,68,GK,69.0,69.0,63.0,67.0,55.0,69.0,Turkey
A. Lindegaard,240000,68,GK,69.0,70.0,69.0,68.0,50.0,65.0,Denmark
J. Alvbåge,150000,68,GK,62.0,71.0,64.0,62.0,38.0,72.0,Sweden
R. Pleșca,150000,68,GK,65.0,67.0,68.0,64.0,35.0,71.0,Romania
Casto,90000,68,GK,70.0,64.0,65.0,67.0,54.0,66.0,Spain
Q. Westberg,475000,68,GK,66.0,65.0,64.0,68.0,45.0,69.0,United States
M. McGovern,400000,68,GK,69.0,65.0,64.0,69.0,33.0,68.0,Northern Ireland
A. Kwarasey,575000,68,GK,66.0,66.0,65.0,68.0,56.0,65.0,Ghana
F. Öztürk,550000,68,GK,70.0,62.0,64.0,70.0,56.0,68.0,Turkey
J. Fejzić,475000,68,GK,69.0,65.0,59.0,74.0,27.0,66.0,Bosnia Herzegovina
J. Zimmermann,400000,68,GK,68.0,67.0,59.0,69.0,46.0,68.0,Germany
J. MacDonald,475000,68,GK,71.0,64.0,65.0,71.0,22.0,66.0,Scotland
M. Andersen,600000,68,GK,68.0,65.0,60.0,69.0,38.0,70.0,Denmark
J. Moulin,475000,68,GK,70.0,70.0,65.0,70.0,52.0,66.0,France
M. Knaller,550000,68,GK,68.0,68.0,49.0,71.0,43.0,66.0,Austria
D. Button,600000,68,GK,70.0,68.0,65.0,68.0,53.0,65.0,England
M. Pinto,240000,68,GK,70.0,63.0,68.0,68.0,55.0,62.0,Chile
P. Klandt,240000,68,GK,69.0,68.0,64.0,67.0,41.0,67.0,Germany
R. Zwinkels,150000,68,GK,66.0,64.0,66.0,68.0,40.0,74.0,Netherlands
W. Sandilands,240000,68,GK,66.0,70.0,67.0,68.0,53.0,68.0,South Africa
W. Yarbrough,600000,68,GK,67.0,62.0,70.0,68.0,57.0,68.0,United States
P. Garcés,400000,68,GK,69.0,66.0,69.0,68.0,36.0,68.0,Chile
A. Pomini,90000,68,GK,65.0,66.0,62.0,69.0,41.0,71.0,Italy
D. Hernández,475000,68,GK,71.0,66.0,59.0,67.0,32.0,66.0,Venezuela
P. Kovář,475000,68,GK,69.0,62.0,69.0,69.0,34.0,66.0,Czech Republic
A. Shafi,90000,68,GK,67.0,64.0,78.0,71.0,36.0,65.0,Jordan
E. Taşkıran,625000,68,GK,66.0,67.0,64.0,68.0,54.0,67.0,Turkey
F. Farnolle,400000,68,GK,69.0,68.0,65.0,64.0,42.0,68.0,Benin
Kim Jin Hyeon,575000,68,GK,67.0,65.0,61.0,69.0,47.0,68.0,Korea Republic
A. Kochenkov,550000,68,GK,65.0,66.0,67.0,71.0,47.0,67.0,Russia
F. Kaplan,600000,68,GK,63.0,68.0,70.0,67.0,46.0,68.0,Turkey
A. Harush,575000,68,GK,74.0,63.0,63.0,70.0,36.0,67.0,Israel
H. Halldórsson,0,68,GK,69.0,61.0,62.0,69.0,38.0,68.0,Iceland
L. Castellanos,240000,68,GK,67.0,66.0,59.0,70.0,43.0,67.0,Colombia
S. Gonda,600000,68,GK,67.0,67.0,63.0,71.0,44.0,66.0,Japan
E. Hernández,475000,68,GK,64.0,67.0,73.0,70.0,51.0,69.0,Uruguay
Márcio Velinha,575000,68,GK,69.0,62.0,75.0,73.0,39.0,65.0,Brazil
D. Zagorac,550000,68,GK,70.0,68.0,67.0,69.0,44.0,66.0,Croatia
G. Ortiz,600000,68,GK,70.0,67.0,64.0,70.0,30.0,66.0,Paraguay
D. Rusu,650000,68,GK,67.0,65.0,61.0,70.0,22.0,70.0,Moldova
M. Gagliardo,150000,68,GK,68.0,61.0,62.0,72.0,37.0,67.0,Argentina
A. Muric,1400000,67,GK,70.0,65.0,69.0,68.0,45.0,66.0,Kosovo
K. Scherpen,1400000,67,GK,67.0,66.0,64.0,69.0,42.0,66.0,Netherlands
S. Jurado,1100000,67,GK,68.0,63.0,65.0,70.0,29.0,69.0,Mexico
F. Woodman,1000000,67,GK,66.0,64.0,59.0,68.0,45.0,66.0,England
G. Coucke,1100000,67,GK,66.0,66.0,62.0,68.0,38.0,65.0,Belgium
A. Mitryushkin,975000,67,GK,68.0,64.0,66.0,65.0,36.0,69.0,Russia
L. Kelly,975000,67,GK,68.0,65.0,72.0,69.0,39.0,68.0,Scotland
R. de Boer,975000,67,GK,70.0,63.0,61.0,70.0,32.0,60.0,Netherlands
Cristian Rivero,975000,67,GK,71.0,60.0,62.0,73.0,27.0,62.0,Spain
Y. Clementia,975000,67,GK,67.0,66.0,66.0,70.0,37.0,64.0,France
N. Jackers,925000,67,GK,68.0,65.0,61.0,70.0,44.0,63.0,Belgium
L. Badiashile,925000,67,GK,67.0,65.0,65.0,69.0,38.0,65.0,France
G. Vicario,925000,67,GK,66.0,66.0,60.0,69.0,26.0,66.0,Italy
José Suárez,875000,67,GK,68.0,64.0,70.0,69.0,47.0,67.0,Spain
M. Zetterer,875000,67,GK,68.0,66.0,71.0,70.0,42.0,64.0,Germany
Y. Urra,875000,67,GK,66.0,65.0,66.0,67.0,25.0,68.0,Chile
R. Descamps,875000,67,GK,70.0,65.0,61.0,68.0,42.0,66.0,France
Zubiaurre,875000,67,GK,65.0,66.0,67.0,68.0,29.0,63.0,Spain
André Ferreira,875000,67,GK,68.0,67.0,56.0,70.0,39.0,65.0,Portugal
Iván Villar,825000,67,GK,69.0,62.0,64.0,69.0,33.0,65.0,Spain
J. Devecchi,825000,67,GK,67.0,65.0,59.0,67.0,48.0,66.0,Argentina
Miquel Parera,825000,67,GK,72.0,64.0,62.0,72.0,37.0,61.0,Spain
K. Eisele,825000,67,GK,68.0,66.0,63.0,73.0,19.0,66.0,Germany
P. Klewin,775000,67,GK,67.0,63.0,60.0,66.0,41.0,69.0,Germany
X. Mous,800000,67,GK,69.0,66.0,65.0,65.0,39.0,63.0,Netherlands
G. Long,750000,67,GK,68.0,66.0,64.0,69.0,32.0,66.0,England
P. Izzo,750000,67,GK,68.0,63.0,63.0,69.0,47.0,66.0,Australia
J. Martínez,750000,67,GK,70.0,63.0,65.0,69.0,41.0,64.0,Colombia
D. Melo,750000,67,GK,65.0,67.0,64.0,71.0,48.0,62.0,Chile
L. Cárdenas,750000,67,GK,68.0,67.0,67.0,68.0,40.0,65.0,Mexico
Rubén Yáñez,750000,67,GK,66.0,65.0,61.0,69.0,43.0,65.0,Spain
M. Gillespie,700000,67,GK,69.0,62.0,60.0,70.0,35.0,68.0,England
L. Bostyn,725000,67,GK,72.0,66.0,59.0,66.0,36.0,67.0,Belgium
A. Leitner,725000,67,GK,67.0,66.0,59.0,70.0,24.0,64.0,Austria
Andrés Prieto,725000,67,GK,65.0,67.0,66.0,68.0,40.0,69.0,Spain
R. Williams,0,67,GK,71.0,65.0,62.0,70.0,57.0,61.0,South Africa
A. Bono,725000,67,GK,67.0,66.0,66.0,68.0,41.0,64.0,United States
S. Marinović,700000,67,GK,71.0,60.0,55.0,72.0,51.0,61.0,New Zealand
Gu Sung Yun,725000,67,GK,64.0,63.0,61.0,70.0,29.0,67.0,Korea Republic
V. Hladký,700000,67,GK,67.0,63.0,59.0,71.0,57.0,65.0,Czech Republic
L. Zima,700000,67,GK,70.0,62.0,64.0,65.0,43.0,66.0,Czech Republic
R. Meara,700000,67,GK,66.0,65.0,64.0,70.0,46.0,68.0,Republic of Ireland
S. Moyano,700000,67,GK,66.0,66.0,67.0,71.0,46.0,65.0,Argentina
S. Richey,675000,67,GK,69.0,65.0,66.0,68.0,56.0,65.0,United States
D. Schmidt,675000,67,GK,66.0,65.0,70.0,68.0,17.0,66.0,Japan
P. Álvarez,0,67,GK,70.0,69.0,61.0,71.0,19.0,68.0,Peru
T. Coremans,675000,67,GK,69.0,66.0,64.0,67.0,35.0,65.0,Netherlands
N. Larsen,675000,67,GK,68.0,66.0,64.0,70.0,44.0,69.0,Denmark
Cristiano,675000,67,GK,64.0,67.0,64.0,64.0,30.0,73.0,Portugal
K. Kamiński,675000,67,GK,68.0,67.0,66.0,65.0,38.0,68.0,Poland
G. Güvenç,650000,67,GK,70.0,63.0,58.0,74.0,56.0,64.0,Turkey
V. Soto,650000,67,GK,65.0,71.0,58.0,62.0,44.0,66.0,Colombia
A. Desmas,675000,67,GK,66.0,65.0,63.0,67.0,29.0,68.0,France
M. Dreyer,600000,67,GK,66.0,68.0,65.0,69.0,50.0,65.0,France
R. Pillot,650000,67,GK,67.0,65.0,64.0,67.0,39.0,66.0,France
M. Delač,650000,67,GK,69.0,67.0,63.0,68.0,32.0,67.0,Croatia
N. Marsman,650000,67,GK,69.0,60.0,68.0,72.0,39.0,65.0,Netherlands
I. Lanni,625000,67,GK,71.0,62.0,58.0,69.0,44.0,61.0,Italy
F. Al Qarni,625000,67,GK,67.0,64.0,63.0,72.0,44.0,66.0,Saudi Arabia
S. Gbohouo,0,67,GK,66.0,65.0,70.0,68.0,41.0,65.0,Ivory Coast
M. Zeghba,650000,67,GK,66.0,67.0,63.0,69.0,49.0,67.0,Algeria
L. Camp,325000,67,GK,65.0,65.0,71.0,67.0,38.0,65.0,Northern Ireland
M. Wölfli,130000,67,GK,69.0,60.0,71.0,65.0,40.0,67.0,Switzerland
D. Perquis,400000,67,GK,64.0,66.0,64.0,68.0,48.0,67.0,France
D. Gerken,325000,67,GK,68.0,66.0,65.0,68.0,49.0,65.0,England
E. Bologna,80000,67,GK,67.0,67.0,60.0,65.0,42.0,67.0,Argentina
R. Cierzniak,130000,67,GK,67.0,65.0,61.0,66.0,39.0,69.0,Poland
Biel Ribas,400000,67,GK,67.0,65.0,68.0,71.0,46.0,65.0,Spain
S. Aresti,400000,67,GK,66.0,65.0,61.0,65.0,38.0,69.0,Italy
S. Eastwood,525000,67,GK,65.0,60.0,62.0,71.0,50.0,67.0,England
S. Pontdemé,500000,67,GK,67.0,66.0,65.0,69.0,34.0,67.0,France
J. Jones,525000,67,GK,68.0,66.0,65.0,68.0,34.0,66.0,England
Cheng Yuelei,500000,67,GK,65.0,67.0,69.0,64.0,38.0,66.0,China PR
L. Königshofer,525000,67,GK,68.0,64.0,58.0,68.0,52.0,66.0,Austria
L. Daniels,500000,67,GK,67.0,63.0,65.0,75.0,50.0,62.0,England
D. Vega,210000,67,GK,67.0,62.0,66.0,65.0,25.0,69.0,Argentina
M. Peškovič,80000,67,GK,67.0,65.0,62.0,65.0,31.0,68.0,Slovakia
K. Çelikay,500000,67,GK,69.0,66.0,61.0,70.0,31.0,64.0,Turkey
B. Shuttleworth,475000,67,GK,69.0,65.0,66.0,67.0,43.0,65.0,United States
S. Mielitz,550000,67,GK,69.0,65.0,58.0,67.0,42.0,67.0,Germany
T. Deric,525000,67,GK,64.0,63.0,64.0,73.0,33.0,65.0,United States
M. Grün,475000,67,GK,68.0,66.0,64.0,65.0,50.0,67.0,Germany
S. Moore,550000,67,GK,66.0,65.0,69.0,67.0,49.0,64.0,England
A. Mathlouthi,325000,67,GK,66.0,63.0,60.0,67.0,22.0,70.0,Tunisia
Y. Al Mosailem,210000,67,GK,64.0,70.0,63.0,64.0,38.0,71.0,Saudi Arabia
V. Eicher,550000,67,GK,67.0,66.0,61.0,69.0,45.0,67.0,Germany
A. Iacobucci,550000,67,GK,67.0,62.0,65.0,70.0,43.0,64.0,Italy
J. Attinella,525000,67,GK,69.0,61.0,66.0,69.0,44.0,65.0,United States
E. Bush,400000,67,GK,68.0,64.0,63.0,69.0,41.0,66.0,United States
A. Al Mayoof,475000,67,GK,65.0,67.0,67.0,67.0,47.0,68.0,Saudi Arabia
R. Naranjo,80000,67,GK,68.0,67.0,62.0,66.0,38.0,64.0,Chile
A. Doukha,475000,67,GK,67.0,60.0,62.0,75.0,38.0,64.0,Algeria
Oh Seung Hoon,500000,67,GK,69.0,62.0,61.0,68.0,46.0,69.0,Korea Republic
Fepe Avedo,500000,67,GK,65.0,63.0,61.0,77.0,44.0,64.0,Brazil
Mateus Tangil,500000,67,GK,66.0,68.0,63.0,72.0,54.0,64.0,Brazil
Traeira Lopes,550000,67,GK,61.0,60.0,40.0,67.0,37.0,77.0,Brazil
Rafael de Aseiro,550000,67,GK,67.0,59.0,58.0,71.0,43.0,68.0,Brazil
T. Hayashi,130000,67,GK,64.0,67.0,60.0,67.0,28.0,70.0,Japan
Paulo Vítor,525000,67,GK,68.0,66.0,71.0,67.0,24.0,64.0,Brazil
R. Chamseddine,550000,67,GK,67.0,65.0,64.0,68.0,37.0,66.0,Algeria
A. Plizzari,1200000,66,GK,68.0,68.0,59.0,72.0,41.0,62.0,Italy
I. Meslier,1200000,66,GK,68.0,63.0,66.0,68.0,28.0,63.0,France
R. Majecki,975000,66,GK,67.0,65.0,60.0,68.0,29.0,66.0,Poland
G. Poussin,1000000,66,GK,67.0,65.0,63.0,66.0,21.0,67.0,France
R. Vodišek,1000000,66,GK,68.0,62.0,61.0,69.0,47.0,63.0,Slovenia
João Costa,825000,66,GK,69.0,63.0,53.0,68.0,26.0,63.0,Portugal
R. Niczuly,825000,66,GK,66.0,61.0,63.0,69.0,29.0,68.0,Romania
Daniel Fuzato,825000,66,GK,63.0,65.0,60.0,65.0,25.0,70.0,Brazil
K. Osako,800000,66,GK,67.0,66.0,65.0,69.0,30.0,63.0,Japan
André Moreira,775000,66,GK,66.0,67.0,66.0,67.0,48.0,63.0,Portugal
J. Teunckens,775000,66,GK,70.0,67.0,58.0,71.0,41.0,59.0,Belgium
A. Bodart,775000,66,GK,68.0,66.0,62.0,70.0,21.0,60.0,Belgium
C. Dawson,725000,66,GK,65.0,63.0,58.0,72.0,56.0,63.0,England
L. Lezzerini,725000,66,GK,67.0,60.0,60.0,70.0,45.0,64.0,Italy
J. Wildsmith,725000,66,GK,70.0,62.0,68.0,70.0,42.0,64.0,England
S. Gori,725000,66,GK,70.0,65.0,60.0,70.0,46.0,61.0,Italy
S. Sy,725000,66,GK,68.0,65.0,67.0,65.0,53.0,65.0,Senegal
D. Reimann,725000,66,GK,69.0,61.0,70.0,70.0,45.0,61.0,Germany
E. Reséndez,725000,66,GK,64.0,64.0,64.0,68.0,32.0,65.0,Mexico
G. Gómez,725000,66,GK,68.0,60.0,68.0,69.0,23.0,66.0,Argentina
Álex Cobo,725000,66,GK,65.0,68.0,60.0,67.0,44.0,65.0,Spain
W. Eskelinen,675000,66,GK,67.0,64.0,67.0,69.0,33.0,63.0,Sweden
G. Kitanov,675000,66,GK,65.0,63.0,61.0,68.0,46.0,70.0,Bulgaria
A. Brunst,675000,66,GK,68.0,65.0,60.0,67.0,41.0,62.0,Germany
P. Sisniega,675000,66,GK,63.0,71.0,64.0,63.0,45.0,67.0,Mexico
M. Macey,675000,66,GK,63.0,66.0,67.0,68.0,39.0,64.0,England
J. Prior,675000,66,GK,66.0,65.0,67.0,65.0,52.0,65.0,France
D. Mesenhöler,675000,66,GK,67.0,69.0,57.0,65.0,49.0,62.0,Germany
D. Sappa,675000,66,GK,58.0,66.0,66.0,65.0,33.0,70.0,Argentina
João Lopes,675000,66,GK,66.0,64.0,59.0,66.0,31.0,66.0,Brazil
Gabriel Souza,675000,66,GK,64.0,62.0,72.0,67.0,37.0,65.0,Brazil
L. Nicholls,625000,66,GK,68.0,62.0,64.0,70.0,41.0,62.0,England
D. Stojanović,625000,66,GK,69.0,60.0,59.0,70.0,38.0,64.0,FYR Macedonia
N. Melissas,625000,66,GK,68.0,63.0,52.0,69.0,34.0,64.0,Greece
I. Lučić,650000,66,GK,68.0,61.0,61.0,68.0,40.0,63.0,Austria
A. Salazar,625000,66,GK,64.0,66.0,63.0,67.0,42.0,64.0,Chile
Ángel Galván,625000,66,GK,65.0,69.0,61.0,63.0,45.0,66.0,Spain
L. Andrenacci,650000,66,GK,66.0,68.0,60.0,68.0,49.0,66.0,Italy
Alberto Varo,625000,66,GK,62.0,63.0,64.0,69.0,40.0,65.0,Spain
A. Olliero,650000,66,GK,68.0,65.0,64.0,69.0,46.0,63.0,France
J. Chaverra,625000,66,GK,68.0,65.0,61.0,72.0,20.0,60.0,Colombia
T. Holý,575000,66,GK,71.0,60.0,56.0,69.0,28.0,65.0,Czech Republic
Y. Brecher,600000,66,GK,68.0,57.0,67.0,71.0,40.0,68.0,Switzerland
G. Hubert,625000,66,GK,70.0,63.0,64.0,65.0,43.0,63.0,Belgium
S. Sluga,600000,66,GK,67.0,64.0,61.0,71.0,54.0,62.0,Croatia
P. Drewes,600000,66,GK,69.0,64.0,65.0,62.0,29.0,64.0,Germany
Ham Seok Min,625000,66,GK,65.0,68.0,68.0,65.0,43.0,65.0,Korea Republic
Son Jeong Hyeon,575000,66,GK,69.0,64.0,64.0,67.0,45.0,64.0,Korea Republic
F. Perucchini,575000,66,GK,69.0,62.0,60.0,68.0,45.0,67.0,Italy
J. Da Silva,575000,66,GK,65.0,66.0,63.0,66.0,48.0,64.0,Uruguay
J. Aguirre,575000,66,GK,70.0,60.0,64.0,71.0,36.0,60.0,Colombia
T. Boss,600000,66,GK,70.0,63.0,57.0,69.0,47.0,62.0,Germany
Simão Bertelli,625000,66,GK,67.0,62.0,61.0,70.0,27.0,65.0,Brazil
A. Østbø,575000,66,GK,66.0,64.0,62.0,67.0,23.0,61.0,Norway
E. Barli,575000,66,GK,67.0,64.0,63.0,67.0,26.0,65.0,Norway
Miguel Oliveira,600000,66,GK,67.0,66.0,62.0,66.0,28.0,67.0,Portugal
J. Brondeel,600000,66,GK,68.0,64.0,60.0,70.0,44.0,62.0,Belgium
No Dong Geon,575000,66,GK,66.0,64.0,63.0,70.0,42.0,62.0,Korea Republic
W. Norris,600000,66,GK,68.0,64.0,60.0,68.0,45.0,64.0,England
G. Alcalá,575000,66,GK,67.0,65.0,60.0,64.0,60.0,70.0,Mexico
A. Villete,575000,66,GK,65.0,63.0,61.0,63.0,25.0,67.0,Uruguay
Manu García,575000,66,GK,68.0,63.0,51.0,70.0,36.0,62.0,Spain
R. Sandberg,550000,66,GK,67.0,63.0,60.0,68.0,33.0,65.0,Sweden
B. Maubleu,550000,66,GK,66.0,64.0,58.0,66.0,43.0,67.0,France
J. Słowik,550000,66,GK,69.0,57.0,53.0,68.0,38.0,70.0,Poland
Fernando,550000,66,GK,68.0,63.0,59.0,68.0,48.0,61.0,Spain
C. Vargas,550000,66,GK,67.0,65.0,57.0,65.0,43.0,64.0,Colombia
P. Carlgren,550000,66,GK,69.0,61.0,59.0,64.0,33.0,62.0,Sweden
C. Giraldo,550000,66,GK,59.0,65.0,64.0,62.0,37.0,70.0,Colombia
A. M'hamdi,550000,66,GK,66.0,65.0,62.0,68.0,55.0,65.0,Morocco
N. Ravaglia,500000,66,GK,63.0,65.0,57.0,69.0,30.0,66.0,Italy
P. Mandanda,525000,66,GK,69.0,61.0,65.0,70.0,47.0,63.0,DR Congo
A. Donnarumma,550000,66,GK,70.0,62.0,51.0,74.0,18.0,59.0,Italy
Ryu Won Woo,550000,66,GK,67.0,64.0,65.0,67.0,49.0,65.0,Korea Republic
J. Day,550000,66,GK,68.0,59.0,58.0,70.0,55.0,66.0,England
B. Valette,550000,66,GK,69.0,64.0,64.0,67.0,41.0,67.0,France
Fábio,525000,66,GK,69.0,64.0,58.0,68.0,44.0,66.0,Brazil
M. El-Shenawy,0,66,GK,69.0,66.0,60.0,66.0,47.0,66.0,Egypt
R. Swete,525000,66,GK,68.0,58.0,66.0,67.0,46.0,67.0,Austria
S. Pérez,550000,66,GK,68.0,65.0,70.0,67.0,41.0,66.0,Chile
M. Álvarez,500000,66,GK,68.0,62.0,57.0,68.0,23.0,76.0,Argentina
D. Lazăr,525000,66,GK,61.0,63.0,68.0,70.0,27.0,64.0,Romania
J. Doriado,0,66,GK,65.0,66.0,59.0,66.0,42.0,66.0,Ecuador
M. Gilks,70000,66,GK,65.0,67.0,65.0,63.0,38.0,67.0,Scotland
A. Mannus,70000,66,GK,63.0,68.0,62.0,64.0,42.0,66.0,Northern Ireland
D. Martin,350000,66,GK,66.0,62.0,66.0,65.0,39.0,66.0,England
L. Michel,70000,66,GK,64.0,66.0,66.0,63.0,51.0,63.0,Mexico
H. Sogahata,70000,66,GK,66.0,66.0,65.0,68.0,18.0,67.0,Japan
S. Henderson,425000,66,GK,66.0,63.0,70.0,62.0,39.0,64.0,Republic of Ireland
D. Bičík,70000,66,GK,66.0,64.0,63.0,65.0,25.0,64.0,Czech Republic
A. Jaakkola,400000,66,GK,68.0,61.0,60.0,71.0,59.0,68.0,Finland
B. Alnwick,400000,66,GK,67.0,60.0,59.0,71.0,41.0,62.0,England
O. Fôn Williams,400000,66,GK,64.0,62.0,58.0,68.0,56.0,65.0,Wales
B. Hamer,425000,66,GK,70.0,62.0,62.0,68.0,45.0,65.0,England
J. McKeown,450000,66,GK,66.0,60.0,58.0,68.0,45.0,65.0,Republic of Ireland
Juan Carlos,425000,66,GK,67.0,61.0,62.0,70.0,53.0,64.0,Spain
G. Bindi,400000,66,GK,65.0,64.0,56.0,67.0,39.0,65.0,Italy
N. Mihaylov,0,66,GK,65.0,66.0,64.0,68.0,59.0,65.0,Bulgaria
C. Seitz,400000,66,GK,67.0,61.0,71.0,66.0,52.0,69.0,United States
B. Knighton,280000,66,GK,67.0,64.0,65.0,64.0,54.0,65.0,United States
Yang Cheng,350000,66,GK,64.0,64.0,67.0,65.0,32.0,66.0,China PR
S. Davies,400000,66,GK,65.0,64.0,61.0,69.0,25.0,65.0,England
A. Redmayne,425000,66,GK,65.0,65.0,61.0,66.0,45.0,67.0,Australia
E. Domaschke,350000,66,GK,67.0,66.0,65.0,66.0,38.0,63.0,Germany
M. Kobras,350000,66,GK,68.0,62.0,56.0,70.0,52.0,65.0,Austria
J. Rask,425000,66,GK,64.0,69.0,53.0,66.0,33.0,65.0,Denmark
Y. Thuram,425000,66,GK,66.0,62.0,60.0,68.0,39.0,67.0,France
Kim Ho Jun,170000,66,GK,66.0,63.0,66.0,66.0,52.0,65.0,Korea Republic
D. Romo,425000,66,GK,62.0,64.0,66.0,66.0,46.0,66.0,Mexico
R. Ruiter,400000,66,GK,66.0,62.0,65.0,66.0,55.0,67.0,Netherlands
Lee Bum Young,425000,66,GK,66.0,65.0,63.0,67.0,40.0,62.0,Korea Republic
K. Fickentscher,425000,66,GK,64.0,62.0,61.0,72.0,50.0,66.0,Switzerland
J. Willis,425000,66,GK,68.0,65.0,60.0,65.0,46.0,68.0,United States
N. Manfredini,425000,66,GK,69.0,64.0,63.0,69.0,44.0,63.0,Italy
A. Sánchez,400000,66,GK,64.0,61.0,66.0,69.0,21.0,65.0,Argentina
R. Jérez,350000,66,GK,65.0,63.0,65.0,67.0,40.0,68.0,Guatemala
A. Kofler,400000,66,GK,66.0,68.0,59.0,66.0,47.0,68.0,Austria
S. Mpontshane,350000,66,GK,66.0,63.0,62.0,73.0,46.0,65.0,South Africa
Jailson Acuna,425000,66,GK,57.0,74.0,77.0,68.0,13.0,63.0,Brazil
A. Keita,400000,66,GK,72.0,59.0,77.0,69.0,22.0,57.0,Guinea
H. Ilkura,350000,66,GK,64.0,66.0,58.0,63.0,25.0,68.0,Japan
M. Cano,350000,66,GK,71.0,64.0,73.0,67.0,27.0,57.0,Argentina
L. Requena,425000,66,GK,65.0,65.0,63.0,65.0,61.0,70.0,Argentina
C. Früchtl,975000,65,GK,68.0,65.0,66.0,68.0,24.0,64.0,Germany
Gabriel Brazão,925000,65,GK,63.0,67.0,59.0,69.0,28.0,64.0,Brazil
M. Carnesecchi,975000,65,GK,63.0,64.0,58.0,67.0,32.0,64.0,Italy
J. Schendelaar,925000,65,GK,65.0,63.0,60.0,64.0,27.0,64.0,Netherlands
J. Markovič,750000,65,GK,66.0,66.0,69.0,69.0,60.0,68.0,Czech Republic
D. Iversen,775000,65,GK,67.0,62.0,68.0,66.0,42.0,65.0,Denmark
Álvaro,775000,65,GK,67.0,60.0,57.0,66.0,46.0,64.0,Spain
Pedro Silva,775000,65,GK,69.0,58.0,59.0,67.0,30.0,59.0,Portugal
A. Grandi,775000,65,GK,66.0,65.0,67.0,69.0,33.0,64.0,Brazil
F. Alastra,750000,65,GK,65.0,63.0,66.0,69.0,52.0,62.0,Italy
R. Macagno,750000,65,GK,66.0,64.0,58.0,68.0,28.0,64.0,Argentina
