short_name,value_eur,overall,player_positions,pace,shooting,passing,dribbling,defending,physic,nationality
G. Ávalos,800000,67,ST,67.0,61.0,47.0,62.0,30.0,71.0,Paraguay
R. Noya,650000,67,CB,46.0,35.0,43.0,43.0,64.0,77.0,Argentina
M. Escudero,625000,67,CB,55.0,23.0,39.0,43.0,66.0,64.0,Argentina
D. Gómez,550000,67,RB,81.0,50.0,57.0,65.0,64.0,78.0,Colombia
D. Cardoso,625000,67,CB,68.0,33.0,43.0,51.0,68.0,70.0,South Africa
M. Alphonse,625000,67,RB,79.0,49.0,57.0,60.0,64.0,64.0,France
S. Aytaç,675000,67,LB,73.0,49.0,61.0,66.0,66.0,73.0,Turkey
L. Memela,675000,67,LW,72.0,66.0,63.0,70.0,44.0,57.0,South Africa
Campillo,775000,67,CAM,58.0,70.0,67.0,65.0,54.0,62.0,Spain
David Rocha,375000,67,CM,53.0,65.0,67.0,66.0,59.0,71.0,Spain
A. Nalini,750000,67,LW,69.0,63.0,61.0,70.0,26.0,56.0,Italy
M. Bagayoko,0,67,RB,75.0,27.0,54.0,66.0,66.0,66.0,Ivory Coast
T. D'Orazio,750000,67,LM,74.0,62.0,61.0,68.0,59.0,66.0,Italy
Claytisco Branco,220000,67,RB,62.0,52.0,62.0,55.0,71.0,66.0,Brazil
Chris Farminhão,230000,67,CB,51.0,51.0,61.0,52.0,66.0,68.0,Brazil
Welson Leima,240000,67,CDM,50.0,39.0,63.0,46.0,67.0,69.0,Brazil
Renan Tojeiras,240000,67,CDM,50.0,61.0,56.0,72.0,66.0,76.0,Brazil
Nuno Cedrim,800000,67,CAM,71.0,56.0,69.0,72.0,29.0,63.0,Brazil
Estevãtinho,800000,67,CAM,49.0,57.0,73.0,64.0,27.0,51.0,Brazil
Gustavo Pastinho,825000,67,ST,83.0,69.0,54.0,73.0,33.0,58.0,Brazil
Míchel Zabaco,625000,67,CB,54.0,38.0,47.0,46.0,66.0,69.0,Spain
Kaio Aldair,675000,67,RB,81.0,56.0,62.0,66.0,63.0,61.0,Brazil
Breno Laranjeiro,675000,67,CAM,71.0,56.0,67.0,66.0,41.0,52.0,Brazil
Melvin Regalito,800000,67,CAM,65.0,60.0,63.0,67.0,30.0,62.0,Brazil
Wilsson Rosito,325000,67,CAM,72.0,56.0,68.0,72.0,31.0,58.0,Brazil
F. Mercado,750000,67,ST,67.0,67.0,50.0,68.0,22.0,59.0,Colombia
J. Viveros,800000,67,LM,73.0,62.0,66.0,68.0,33.0,60.0,Colombia
F. Bejan,675000,67,CB,44.0,32.0,39.0,45.0,65.0,73.0,Romania
T. Ugajin,675000,67,LM,70.0,61.0,65.0,67.0,55.0,68.0,Japan
T. Aoki,725000,67,CM,70.0,57.0,64.0,63.0,65.0,76.0,Japan
T. Takagi,775000,67,LM,79.0,66.0,64.0,65.0,33.0,62.0,Japan
H. Mita,750000,67,CM,65.0,63.0,66.0,64.0,58.0,67.0,Japan
Ramon Lopes,750000,67,ST,58.0,65.0,61.0,68.0,34.0,69.0,Brazil
H. Fujiharu,600000,67,LB,70.0,35.0,51.0,59.0,66.0,59.0,Japan
K. Omori,800000,67,LM,66.0,61.0,65.0,69.0,39.0,66.0,Japan
S. Nagasawa,725000,67,ST,42.0,69.0,48.0,61.0,29.0,66.0,Japan
Y. Yoshida,625000,67,LB,74.0,32.0,61.0,67.0,64.0,67.0,Japan
Y. Maruyama,625000,67,CB,58.0,35.0,56.0,55.0,67.0,72.0,Japan
D. Nishi,550000,67,RB,49.0,52.0,67.0,66.0,64.0,77.0,Japan
A. Nakamura,775000,67,RM,67.0,57.0,65.0,71.0,36.0,49.0,Japan
N. Fujita,575000,67,CM,50.0,59.0,67.0,65.0,60.0,69.0,Japan
K. Taketomi,800000,67,CF,61.0,67.0,64.0,69.0,40.0,68.0,Japan
A. Mbekile,475000,67,RB,67.0,43.0,59.0,65.0,66.0,61.0,South Africa
F. Saucedo,0,67,CM,60.0,46.0,64.0,62.0,68.0,56.0,Bolivia
Ricardo Alves,675000,67,CB,68.0,40.0,49.0,52.0,65.0,71.0,Portugal
Tomás Nuninho,240000,67,CDM,53.0,49.0,59.0,60.0,65.0,76.0,Brazil
Welliton Helmes,675000,67,CAM,74.0,63.0,61.0,71.0,30.0,55.0,Brazil
J. Christjansen,650000,67,CM,69.0,58.0,62.0,65.0,60.0,77.0,Denmark
G. Mastinu,800000,67,CAM,64.0,64.0,64.0,67.0,29.0,53.0,Italy
Fred Soidares,220000,67,LB,66.0,53.0,54.0,56.0,69.0,71.0,Brazil
Frederico Rendel,675000,67,CAM,77.0,65.0,62.0,66.0,36.0,69.0,Brazil
Alex Doneiro,675000,67,CAM,66.0,71.0,58.0,68.0,28.0,57.0,Brazil
Claudio Silbeiro,350000,67,ST,74.0,68.0,49.0,66.0,36.0,64.0,Brazil
Venanzio Meirás,675000,67,ST,50.0,68.0,67.0,65.0,35.0,54.0,Brazil
Vinícius,0,67,CB,66.0,32.0,33.0,44.0,67.0,71.0,Hungary
J. Opoku,750000,67,RW,68.0,67.0,65.0,70.0,42.0,66.0,Netherlands
M. Heider,475000,67,ST,71.0,65.0,61.0,64.0,49.0,81.0,Germany
P. Herrmann,550000,67,RB,66.0,23.0,51.0,55.0,66.0,72.0,Germany
C. Andriamahitsinoro,750000,67,ST,87.0,65.0,58.0,67.0,28.0,64.0,Madagascar
O. Dytyatev,625000,67,CB,42.0,27.0,41.0,38.0,68.0,76.0,Ukraine
T. Gjertsen,800000,67,LW,81.0,63.0,60.0,70.0,49.0,53.0,Norway
O. Sangante,675000,67,CDM,60.0,46.0,59.0,61.0,64.0,76.0,Senegal
J. Sandoval,475000,67,RB,71.0,52.0,56.0,63.0,67.0,73.0,Uruguay
S. Jovanović,800000,67,RM,83.0,60.0,64.0,67.0,33.0,55.0,Serbia
R. Blanco,750000,67,CAM,65.0,62.0,68.0,68.0,34.0,51.0,Argentina
X. Mlambo,750000,67,CM,71.0,50.0,69.0,69.0,54.0,55.0,South Africa
F. Pereyra,625000,67,CB,39.0,23.0,33.0,37.0,69.0,75.0,Argentina
A. Turgeman,800000,67,ST,72.0,66.0,43.0,66.0,26.0,68.0,Israel
K. Behrens,800000,67,ST,73.0,66.0,47.0,62.0,28.0,75.0,Germany
Romera,550000,67,RB,67.0,37.0,53.0,67.0,70.0,45.0,Spain
Paulinho,625000,67,CDM,64.0,61.0,59.0,61.0,64.0,71.0,Brazil
M. Abdulrahman,725000,67,CAM,68.0,55.0,66.0,72.0,51.0,58.0,United Arab Emirates
J. Segovia,625000,67,CB,54.0,26.0,40.0,42.0,65.0,75.0,Argentina
G. Costa,750000,67,RW,76.0,61.0,65.0,69.0,22.0,58.0,Uruguay
T. Mabunda,0,67,CM,69.0,46.0,62.0,69.0,61.0,69.0,South Africa
A. Russell,575000,67,CB,65.0,23.0,35.0,38.0,66.0,74.0,Hong Kong
I. Larie,500000,67,CB,35.0,26.0,45.0,41.0,65.0,75.0,Romania
G. Vașvari,575000,67,CM,60.0,58.0,62.0,67.0,45.0,67.0,Romania
Romário Pires,700000,67,CM,68.0,56.0,59.0,66.0,55.0,64.0,Brazil
T. Jaques,575000,67,CB,59.0,49.0,44.0,49.0,66.0,72.0,France
R. Zamponi,500000,67,CB,42.0,29.0,38.0,38.0,66.0,74.0,Argentina
E. Cérica,600000,67,ST,63.0,68.0,49.0,58.0,28.0,67.0,Argentina
M. Guerreyro,0,67,RM,70.0,43.0,67.0,68.0,47.0,65.0,Ecuador
J. Breitez,0,67,LB,78.0,34.0,54.0,63.0,69.0,77.0,Ecuador
A. Cissé,650000,67,CDM,60.0,42.0,57.0,65.0,67.0,65.0,Senegal
K. Suzuki,750000,67,ST,67.0,68.0,53.0,64.0,23.0,61.0,Japan
J. Sands,1200000,66,CDM,57.0,49.0,58.0,64.0,64.0,63.0,United States
J. Doku,1300000,66,RW,88.0,51.0,56.0,74.0,26.0,44.0,Belgium
R. Matondo,1300000,66,RM,88.0,56.0,61.0,68.0,31.0,49.0,Wales
Y. Adli,1300000,66,CM,61.0,53.0,65.0,71.0,57.0,60.0,France
A. Marin,1300000,66,LW,79.0,58.0,61.0,72.0,32.0,55.0,Croatia
O. Solet,1300000,66,CB,69.0,35.0,53.0,60.0,62.0,71.0,France
S. van den Berg,1200000,66,CB,68.0,30.0,55.0,63.0,65.0,66.0,Netherlands
D. Jastrzembski,1400000,66,LM,80.0,61.0,60.0,69.0,35.0,58.0,Germany
G. Tsitaishvili,1300000,66,RM,80.0,55.0,59.0,74.0,33.0,39.0,Ukraine
N. Armini,1200000,66,CB,64.0,38.0,49.0,53.0,67.0,63.0,Italy
Tiago Djaló,1300000,66,CB,64.0,40.0,56.0,60.0,65.0,70.0,Portugal
R. Guitane,1400000,66,CAM,77.0,54.0,62.0,72.0,30.0,45.0,France
Pedro Neto,1400000,66,CF,78.0,62.0,53.0,72.0,22.0,41.0,Portugal
J. Ferreira,1300000,66,ST,84.0,64.0,44.0,62.0,24.0,61.0,Colombia
Eric García,1200000,66,CB,58.0,34.0,53.0,59.0,65.0,64.0,Spain
I. Diveev,1300000,66,CB,61.0,34.0,47.0,42.0,67.0,68.0,Russia
L. Traoré,1300000,66,ST,79.0,64.0,50.0,69.0,28.0,67.0,Burkina Faso
T. Sandoval,1400000,66,ST,68.0,62.0,46.0,63.0,25.0,68.0,Argentina
F. Medina,1300000,66,LB,78.0,33.0,52.0,63.0,64.0,67.0,Argentina
M. Sylla,1400000,66,ST,79.0,64.0,53.0,68.0,22.0,53.0,France
Miguel,1400000,66,ST,75.0,64.0,48.0,65.0,30.0,66.0,Spain
Sergio López,1300000,66,RB,80.0,55.0,62.0,67.0,62.0,58.0,Spain
A. Gaich,1400000,66,ST,53.0,65.0,50.0,60.0,22.0,67.0,Argentina
José Gomes,1400000,66,ST,81.0,62.0,42.0,65.0,26.0,59.0,Portugal
D. Kutesa,1400000,66,LW,89.0,58.0,58.0,70.0,38.0,63.0,Switzerland
M. Coulibaly,1400000,66,CM,72.0,57.0,64.0,65.0,63.0,71.0,Senegal
Jeong Woo Yeong,1400000,66,RM,75.0,54.0,59.0,70.0,35.0,54.0,Korea Republic
C. Capone,1400000,66,LW,70.0,59.0,60.0,73.0,20.0,50.0,Italy
C. Gomes,1200000,66,CDM,67.0,56.0,61.0,63.0,65.0,62.0,France
Robert,1300000,66,RW,72.0,59.0,67.0,69.0,26.0,40.0,Spain
Show,1400000,66,CM,62.0,47.0,64.0,66.0,63.0,64.0,Angola
B. Enobakhare,1400000,66,CAM,80.0,57.0,58.0,76.0,27.0,60.0,Nigeria
Pepelu,1400000,66,CM,42.0,58.0,69.0,66.0,53.0,57.0,Spain
M. Browne,1400000,66,LW,83.0,57.0,61.0,69.0,27.0,66.0,England
J. Maja,1400000,66,ST,76.0,67.0,52.0,62.0,28.0,56.0,England
J. Hastie,1400000,66,RW,81.0,62.0,57.0,68.0,31.0,55.0,Scotland
M. Léris,1400000,66,CM,62.0,63.0,62.0,63.0,61.0,68.0,France
L. Geertruida,1200000,66,CB,76.0,42.0,53.0,64.0,63.0,69.0,Netherlands
T. Buitink,1400000,66,ST,71.0,66.0,52.0,65.0,23.0,64.0,Netherlands
M. Camara,1300000,66,CB,70.0,35.0,45.0,45.0,65.0,72.0,Guinea
D. Hancko,1300000,66,LB,57.0,41.0,58.0,58.0,67.0,65.0,Slovakia
D. Acosta,1100000,66,LB,73.0,49.0,62.0,64.0,64.0,70.0,Honduras
M. Dimun,1200000,66,CDM,63.0,38.0,55.0,58.0,64.0,74.0,Slovakia
A. Bongiovanni,1200000,66,CAM,63.0,60.0,66.0,71.0,44.0,40.0,Belgium
F. Götze,1200000,66,CB,59.0,31.0,51.0,59.0,66.0,64.0,Germany
M. Tavernier,1200000,66,LW,77.0,61.0,59.0,70.0,37.0,55.0,England
D. Mihailovic,1200000,66,CAM,67.0,59.0,66.0,65.0,56.0,63.0,United States
R. Bushiri,1100000,66,CB,65.0,26.0,36.0,42.0,63.0,78.0,Belgium
Pedro Gonçalves,1200000,66,CAM,66.0,60.0,63.0,68.0,44.0,42.0,Portugal
J. Cacciabue,1200000,66,CDM,56.0,46.0,62.0,63.0,63.0,61.0,Argentina
J. Ekkelenkamp,1200000,66,CM,65.0,61.0,61.0,66.0,58.0,63.0,Netherlands
W. Burger,1100000,66,CM,68.0,55.0,61.0,66.0,59.0,70.0,Netherlands
Javi Fernández,1200000,66,CB,60.0,36.0,46.0,47.0,66.0,68.0,Spain
Cristo González,1200000,66,ST,69.0,66.0,61.0,68.0,39.0,54.0,Spain
J. Dasilva,1100000,66,CM,72.0,56.0,64.0,69.0,59.0,71.0,England
Kim Dae Won,1100000,66,LW,79.0,61.0,59.0,66.0,25.0,62.0,Korea Republic
C. Pickel,1100000,66,CDM,68.0,53.0,62.0,64.0,61.0,73.0,Switzerland
O. Richards,1100000,66,LB,82.0,45.0,54.0,65.0,62.0,60.0,England
N. Venema,1200000,66,ST,75.0,67.0,46.0,59.0,22.0,55.0,Netherlands
N. Guerra,1200000,66,ST,73.0,63.0,53.0,70.0,22.0,61.0,Chile
I. Lapshov,1100000,66,CB,67.0,34.0,52.0,58.0,65.0,67.0,Russia
L. Czyborra,1100000,66,LB,87.0,48.0,58.0,65.0,59.0,68.0,Germany
I. Saavedra,1100000,66,CM,65.0,57.0,58.0,69.0,58.0,68.0,Chile
Víctor,1100000,66,RM,74.0,64.0,61.0,66.0,50.0,60.0,Spain
Salva,1100000,66,RB,70.0,35.0,56.0,61.0,65.0,70.0,Spain
Richard Rodrigues,1100000,66,ST,67.0,66.0,62.0,71.0,46.0,51.0,Brazil
Adrián Carrasco,1200000,66,LW,72.0,68.0,60.0,67.0,26.0,57.0,Spain
R. Ledson,1000000,66,CDM,61.0,55.0,63.0,64.0,60.0,71.0,England
Kuki Zalazar,1100000,66,CAM,60.0,62.0,66.0,71.0,27.0,37.0,Spain
W. Harding,1000000,66,RWB,75.0,40.0,53.0,60.0,63.0,75.0,England
O. Rodríguez,1000000,66,LB,69.0,47.0,60.0,68.0,64.0,59.0,Mexico
F. Troyansky,1100000,66,ST,71.0,63.0,53.0,67.0,22.0,66.0,Argentina
C. Itten,1100000,66,ST,66.0,63.0,57.0,62.0,35.0,63.0,Switzerland
A. Diawusie,1100000,66,RM,90.0,58.0,51.0,69.0,27.0,64.0,Germany
C. Cuesta,1000000,66,CB,78.0,26.0,44.0,49.0,64.0,68.0,Colombia
R. Tarifeño,1100000,66,ST,85.0,67.0,56.0,68.0,25.0,46.0,Chile
L. Travis,1000000,66,CDM,63.0,41.0,58.0,65.0,62.0,66.0,England
Viti Rozada,1100000,66,RM,87.0,58.0,57.0,67.0,44.0,50.0,Spain
G. Crociata,1100000,66,CAM,72.0,56.0,64.0,70.0,32.0,57.0,Italy
D. Mitchell,1000000,66,LB,82.0,61.0,66.0,69.0,59.0,60.0,England
M. Bakker,975000,66,LB,78.0,39.0,58.0,65.0,64.0,65.0,Netherlands
J. Godínez,1100000,66,ST,67.0,62.0,50.0,62.0,30.0,69.0,Mexico
J. Amon,1100000,66,LW,91.0,56.0,54.0,72.0,32.0,56.0,United States
C. Núñez,1000000,66,CDM,67.0,47.0,59.0,65.0,62.0,76.0,Paraguay
A. Antilef,1100000,66,CAM,77.0,58.0,61.0,70.0,48.0,58.0,Argentina
V. Costache,1100000,66,RW,83.0,64.0,56.0,65.0,29.0,67.0,Romania
Pedro Pelágio,1100000,66,CM,63.0,60.0,66.0,68.0,51.0,62.0,Portugal
Y. Zahary,1000000,66,CB,66.0,33.0,38.0,40.0,66.0,71.0,France
K. Hachadi,1100000,66,ST,53.0,64.0,49.0,60.0,34.0,73.0,Morocco
L. Díaz,1100000,66,RM,77.0,60.0,62.0,69.0,29.0,54.0,Costa Rica
Douglas Aurélio,1100000,66,LW,78.0,60.0,58.0,70.0,28.0,59.0,Brazil
Gandoy,1000000,66,CDM,71.0,44.0,60.0,57.0,64.0,62.0,Spain
Z. Bytyqi,1000000,66,RW,78.0,61.0,60.0,71.0,24.0,63.0,Norway
U. Jenssen,950000,66,CB,66.0,53.0,61.0,63.0,66.0,67.0,Norway
G. Vadalá,1000000,66,CAM,77.0,58.0,63.0,73.0,24.0,48.0,Argentina
T. Walker,1000000,66,ST,84.0,65.0,56.0,68.0,33.0,60.0,England
R. Kongolo,975000,66,CDM,68.0,47.0,58.0,65.0,61.0,75.0,Netherlands
Estrela,950000,66,CDM,68.0,45.0,52.0,63.0,64.0,74.0,Portugal
C. Lobos,1000000,66,CM,70.0,59.0,62.0,65.0,63.0,69.0,Chile
B. Osayi-Samuel,1000000,66,LM,89.0,54.0,56.0,70.0,35.0,59.0,Nigeria
L. Escorcia,950000,66,CB,56.0,25.0,44.0,40.0,66.0,69.0,Colombia
G. Panico,1000000,66,ST,80.0,64.0,58.0,65.0,40.0,55.0,Italy
R. Becker,950000,66,CB,74.0,43.0,50.0,59.0,65.0,70.0,Germany
A. Da Cruz,1000000,66,LW,77.0,66.0,57.0,67.0,38.0,59.0,Netherlands
P. Ghiglione,1000000,66,RM,75.0,52.0,60.0,68.0,63.0,56.0,Italy
M. Poaty,950000,66,LB,82.0,52.0,51.0,65.0,64.0,70.0,France
Y. Hurtado,925000,66,RB,65.0,45.0,61.0,60.0,62.0,69.0,Colombia
N. Molina,950000,66,RB,74.0,35.0,58.0,63.0,62.0,68.0,Argentina
S. Ramírez,950000,66,RB,75.0,31.0,55.0,64.0,64.0,62.0,Chile
S. Diarra,1000000,66,RM,85.0,52.0,61.0,68.0,42.0,52.0,Ivory Coast
A. Gory,1000000,66,LM,87.0,60.0,55.0,68.0,22.0,61.0,France
F. Ananou,950000,66,RB,76.0,38.0,47.0,57.0,66.0,72.0,Germany
H. Mendes,950000,66,RB,76.0,42.0,60.0,62.0,64.0,66.0,France
D. Batty,975000,66,CDM,68.0,50.0,62.0,66.0,62.0,66.0,England
J. Brown,1000000,66,RM,74.0,61.0,60.0,67.0,38.0,63.0,England
C. Vargas,950000,66,LB,68.0,46.0,55.0,56.0,67.0,66.0,Mexico
M. Wolfram,1000000,66,RM,74.0,63.0,63.0,68.0,36.0,65.0,Germany
Z. Flemming,1000000,66,CAM,68.0,62.0,60.0,67.0,54.0,75.0,Netherlands
T. Hadebe,950000,66,CB,71.0,29.0,36.0,38.0,68.0,71.0,Zimbabwe
M. Thalhammer,975000,66,CDM,56.0,43.0,59.0,62.0,62.0,73.0,Germany
J. Earl,950000,66,LB,79.0,43.0,50.0,64.0,65.0,74.0,England
F. Onyeka,1000000,66,RW,84.0,55.0,60.0,68.0,60.0,74.0,Nigeria
F. Barrientos,1000000,66,RM,85.0,52.0,62.0,67.0,29.0,44.0,Chile
I. Boonen,1000000,66,LW,73.0,65.0,61.0,67.0,31.0,57.0,Belgium
Diego Barri,950000,66,CDM,58.0,39.0,60.0,59.0,64.0,70.0,Spain
U. Cardona,1000000,66,LM,77.0,60.0,61.0,68.0,42.0,48.0,Mexico
F. Nadalín,950000,66,RB,72.0,31.0,54.0,64.0,66.0,63.0,Argentina
A. Harroui,1000000,66,CM,73.0,52.0,65.0,67.0,61.0,68.0,Netherlands
J. Medina,1000000,66,RW,73.0,65.0,69.0,63.0,34.0,48.0,Paraguay
M. Mihojević,950000,66,CB,62.0,39.0,44.0,46.0,64.0,67.0,Bosnia Herzegovina
E. Cetre,1000000,66,RW,80.0,64.0,58.0,69.0,27.0,55.0,Colombia
M. Ndockyt,1000000,66,CAM,63.0,55.0,58.0,62.0,39.0,56.0,Congo
E. Iñíguez,925000,66,RB,72.0,30.0,52.0,59.0,67.0,63.0,Argentina
A. Bah,1000000,66,RM,82.0,53.0,56.0,65.0,52.0,71.0,Denmark
Fidalgo,1000000,66,CAM,64.0,50.0,66.0,69.0,49.0,55.0,Spain
Diogo Calila,950000,66,RB,76.0,47.0,57.0,70.0,61.0,66.0,Portugal
A. Vigo,950000,66,RB,76.0,43.0,56.0,64.0,62.0,64.0,Argentina
E. Tapsoba,950000,66,CB,55.0,29.0,39.0,39.0,65.0,74.0,Burkina Faso
V. Mihăilă,1000000,66,LW,91.0,59.0,59.0,68.0,24.0,50.0,Romania
S. Galani,1000000,66,CM,66.0,51.0,63.0,59.0,59.0,67.0,Chile
L. Kilian,925000,66,CB,64.0,37.0,54.0,49.0,64.0,71.0,Germany
M. Bennett,1000000,66,RM,81.0,61.0,60.0,68.0,39.0,72.0,England
D. De Silva,1000000,66,CAM,75.0,60.0,59.0,70.0,31.0,65.0,Australia
F. Cornejo,975000,66,CM,68.0,48.0,65.0,63.0,59.0,67.0,Chile
B. Chardonnet,900000,66,CB,63.0,35.0,48.0,53.0,64.0,70.0,France
J. Rodríguez,1000000,66,ST,82.0,61.0,64.0,74.0,40.0,52.0,Colombia
F. Okenabirhie,1000000,66,ST,84.0,64.0,53.0,67.0,32.0,65.0,England
Y. Bnou-Marzouk,1000000,66,ST,71.0,65.0,45.0,66.0,25.0,58.0,Morocco
N. Vergos,1000000,66,ST,71.0,64.0,47.0,61.0,32.0,63.0,Greece
W. Parra,925000,66,CDM,71.0,45.0,57.0,63.0,65.0,68.0,Colombia
J. Moreno,900000,66,CB,54.0,27.0,39.0,42.0,64.0,74.0,Colombia
K. Vincent-Young,900000,66,LB,88.0,54.0,55.0,66.0,62.0,73.0,England
G. Dobson,975000,66,CM,68.0,54.0,64.0,64.0,63.0,77.0,England
M. Odjer,975000,66,CM,84.0,56.0,53.0,68.0,64.0,73.0,Ghana
F. Dimarco,900000,66,LB,62.0,33.0,66.0,61.0,65.0,59.0,Italy
J. Segura,900000,66,CB,46.0,29.0,38.0,36.0,67.0,72.0,Colombia
O. Abildgaard,975000,66,CM,64.0,62.0,63.0,67.0,61.0,77.0,Denmark
P. Ochs,1000000,66,LM,70.0,61.0,63.0,68.0,49.0,60.0,Germany
H. Alpsoy,925000,66,CDM,71.0,49.0,61.0,57.0,63.0,70.0,Turkey
T. Ndenge,925000,66,CDM,69.0,57.0,61.0,65.0,63.0,73.0,Germany
Óscar Pinchi,1000000,66,LM,74.0,63.0,62.0,68.0,43.0,49.0,Spain
D. Črnigoj,1000000,66,LM,74.0,53.0,63.0,68.0,37.0,66.0,Slovenia
J. Leko,1000000,66,RM,89.0,61.0,52.0,70.0,24.0,58.0,England
J. Livolant,1000000,66,CAM,71.0,58.0,64.0,66.0,57.0,59.0,France
L. Gómez,1000000,66,RM,74.0,59.0,60.0,70.0,57.0,58.0,Argentina
C. Rivera,925000,66,CDM,59.0,56.0,57.0,65.0,64.0,65.0,Colombia
J. Angulo,1000000,66,LM,76.0,55.0,65.0,67.0,46.0,62.0,Mexico
A. Rossi,1000000,66,ST,64.0,66.0,55.0,63.0,31.0,63.0,Italy
C. Nunnely,1000000,66,RW,87.0,50.0,56.0,75.0,24.0,54.0,Netherlands
T. Hübers,900000,66,CB,63.0,39.0,54.0,54.0,65.0,66.0,Germany
P. Schmidt,1000000,66,ST,77.0,64.0,50.0,64.0,22.0,59.0,Austria
V. Gheorghe,1000000,66,LM,76.0,50.0,58.0,68.0,41.0,62.0,Romania
Iban Salvador,1000000,66,CAM,80.0,64.0,61.0,71.0,28.0,62.0,Equatorial Guinea
D. Rigo,975000,66,CM,62.0,57.0,71.0,68.0,46.0,47.0,Belgium
Luis Muñoz,900000,66,CB,63.0,29.0,45.0,48.0,64.0,71.0,Spain
D. Raum,1000000,66,LM,82.0,57.0,62.0,67.0,44.0,59.0,Germany
Q. Maceiras,900000,66,RWB,81.0,57.0,60.0,66.0,62.0,70.0,Switzerland
A. Petre,1000000,66,ST,76.0,63.0,52.0,61.0,25.0,71.0,Romania
J. Gaete,1000000,66,LW,74.0,62.0,63.0,69.0,27.0,65.0,Chile
O. Ba,900000,66,CB,64.0,30.0,42.0,45.0,65.0,77.0,Senegal
Edu Cortina,975000,66,CM,57.0,52.0,65.0,67.0,53.0,58.0,Spain
M. Ristić,900000,66,LWB,68.0,57.0,59.0,65.0,62.0,59.0,Serbia
André Sousa,900000,66,LB,70.0,46.0,60.0,65.0,65.0,64.0,Portugal
D. Khalid,1000000,66,ST,68.0,66.0,56.0,70.0,19.0,53.0,Morocco
J. Intriago,975000,66,CM,69.0,45.0,65.0,67.0,63.0,70.0,Ecuador
A. Sissoko,900000,66,RB,67.0,33.0,56.0,59.0,65.0,62.0,France
R. Guerra,925000,66,CDM,55.0,55.0,57.0,64.0,63.0,63.0,Uruguay
Chuca,975000,66,CM,58.0,56.0,65.0,67.0,57.0,56.0,Spain
A. Rodríguez,1000000,66,ST,76.0,65.0,59.0,70.0,46.0,58.0,Argentina
E. Kayembe,925000,66,CDM,74.0,59.0,60.0,70.0,60.0,74.0,DR Congo
A. Fuenmayor,900000,66,CB,62.0,25.0,39.0,39.0,66.0,69.0,Venezuela
S. Icardi,925000,66,CDM,61.0,52.0,60.0,63.0,62.0,69.0,Italy
S. Mraz,1000000,66,ST,67.0,68.0,53.0,63.0,31.0,60.0,Slovakia
Y. Diarra,975000,66,CM,71.0,59.0,63.0,66.0,61.0,72.0,Mali
J. Monreal,1000000,66,ST,61.0,65.0,52.0,64.0,34.0,67.0,Chile
L. Ravanelli,900000,66,CB,65.0,38.0,42.0,50.0,67.0,64.0,Italy
R. Prieto,1000000,66,LM,78.0,54.0,61.0,70.0,33.0,51.0,Paraguay
A. Ciobanu,1000000,66,RW,79.0,61.0,59.0,68.0,36.0,38.0,Romania
B. Sam,900000,66,LB,72.0,27.0,54.0,61.0,65.0,62.0,South Africa
H. Rafia,1000000,66,CAM,66.0,65.0,63.0,71.0,29.0,59.0,France
A. Meroni,900000,66,CB,58.0,39.0,41.0,44.0,65.0,76.0,Italy
R. Moreo,1000000,66,ST,67.0,62.0,53.0,64.0,22.0,63.0,Italy
C. Morris,950000,66,ST,74.0,62.0,47.0,63.0,32.0,73.0,England
E. Palmer-Brown,850000,66,CB,72.0,30.0,49.0,50.0,65.0,65.0,United States
S. Szmodics,950000,66,CAM,79.0,65.0,59.0,69.0,47.0,68.0,England
M. Njie,950000,66,LW,87.0,60.0,57.0,68.0,29.0,60.0,Norway
J. Flores,950000,66,LM,76.0,59.0,58.0,71.0,26.0,42.0,Chile
T. Bishop,925000,66,CM,70.0,59.0,66.0,71.0,51.0,59.0,England
J. Ginnelly,950000,66,LM,91.0,57.0,57.0,69.0,45.0,61.0,England
Pedro Chirivella,925000,66,CM,65.0,46.0,64.0,66.0,57.0,69.0,Spain
G. Byers,925000,66,CM,64.0,53.0,63.0,66.0,49.0,60.0,Scotland
B. Innocent,875000,66,CDM,75.0,43.0,54.0,66.0,60.0,82.0,Nigeria
Sergio Gil,925000,66,CM,63.0,51.0,68.0,68.0,62.0,61.0,Spain
L. Page,850000,66,LB,79.0,37.0,50.0,64.0,64.0,60.0,England
Gaspar,950000,66,LM,58.0,57.0,65.0,70.0,39.0,31.0,Spain
I. Chatzitheodoridis,850000,66,LB,77.0,39.0,59.0,59.0,62.0,63.0,Greece
Leonardo Lopes,950000,66,CAM,86.0,61.0,61.0,70.0,51.0,53.0,Portugal
C. Arcus,850000,66,RB,72.0,39.0,55.0,62.0,66.0,65.0,Haiti
S. Macías,850000,66,LB,77.0,41.0,60.0,64.0,60.0,64.0,Colombia
J. Ryerson,850000,66,RB,67.0,56.0,60.0,65.0,63.0,74.0,Norway
J. Emmanuel,850000,66,RB,78.0,36.0,60.0,65.0,62.0,76.0,England
Sergio Molina,875000,66,CDM,59.0,44.0,61.0,61.0,65.0,63.0,Spain
A. O'Neill,950000,66,CM,75.0,64.0,61.0,66.0,57.0,63.0,Australia
M. Pantović,950000,66,RM,67.0,57.0,61.0,69.0,33.0,57.0,Serbia
F. Mayembo,850000,66,CB,54.0,38.0,44.0,43.0,63.0,79.0,Congo
